DC MAR Geocoding - Alternate Street Spelling File,,
,,
Please read the Instructions sheet carefully before making changes to this file!,,
,,Entered by
GOODHOPE,GOOD HOPE,BXW
GORGIA,GEORGIA,BXW
GORMEN,GORMAN,BC
GRAD,GIRARD,ANW
GRARD,GIRARD,ANW
GREEEN,GREEN,BC
GRESHAN,GRESHAM,ANW
GST,G,BXW
GUALT,GAULT,RRR
HAARTFORD,HARTFORD,MWE
HAITT,HIATT,BC
HALLY,HALLEY,BC
HAMILIN,HAMLIN,BC
HAMILITON,HAMILTON,BXW
HAMILTON S,HAMILTON,BXW
HAMITON,HAMILTON,BC
HAMLITON,HAMILTON,BC
HANDOVER,HANOVER,BC
HANNAH,HANNA,BC
HANNAN,HANNA,BC
HANNER,HANNA,BC
HARFORD,HARTFORD,MWE
HARTFOR,HARTFORD,BC
HARTFORD SR,HARTFORD,BC
HARVAD,HARVARD,BC
HARVART,HARVARD,BC
HARWARD,HARVARD,BC
HATT,HIATT,BC
HAVARD,HARVARD,BC
HAVES,HAYES,RRR
HAWAI,HAWAII,MG
HAWTHORN,HAWTHORNE,BC
HAWTHRONE,HAWTHORNE,ANW
HAYE,HAYES,BC
HAYES T,HAYES,BC
HAYESST,HAYES,BC
HAYNES,HAYES,BC
HAYSE,HAYES,BC
HERFORD,HERTFORD,BC
HIGH VIEW,HIGHVIEW,BXW
HIGHVEIW,HIGHVIEW,BXW
HILDERTH,HILDRETH,BC
HILL TOP,HILLTOP,PAT
HILLCRSET,HILLCREST,BC
HOBARD,HOBART,BC
HOLBART,HOBART,BC
HOLBROO,HOLBROOK,RRR
HOLBROOKP,HOLBROOK,BC
HOLBROOKS,HOLBROOK,EHG
HOLLBROOK,HOLBROOK,LWG
HOLLEY,HALLEY,RRR
HORTFORD,HARTFORD,BXW
HOWRAD,HOWARD,ANW
HPATRICK,PATRICK,ANW
HUIDEPOKER,HUIDEKOPER,BC
HUN,HUNT,BC
HUNT P,HUNT,BXW
HUNTS,HUNT,LWG
HYATT,HIATT,BXW
HYES,HAYES,PAT
I STST,I,BC
ILINOIS,ILLINOIS,ANW
ILL,ILLINOIS,PAT
ILLINIOS,ILLINOIS,BXW
ILLINOISE,ILLINOIS,LWG
ILLINOS,ILLINOIS,PAT
ILLINOSIS,ILLINOIS,BXW
ILLIONIOS,ILLINOIS,MG
ILLIONIS,ILLINOIS,BXW
ILLIONOIS,ILLINOIS,MG
ILLNOIS,ILLINOIS,ANW
ILLONIS,ILLINOIS,ANW
INDENPENDENCE,INDEPENDENCE,ANW
INDEP,INDEPENDENCE,ANW
